repository,packaging_style,region_id,cohesion,coupling,score,action,decision_confidence,boundary
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.config",0.68,0.9066,0.2491,reconstruct,0.2509,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.config.dao",0.6,0.9720,0.2015,reconstruct,0.2985,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.config.domain",0.8571,0.9742,0.2436,reconstruct,0.2564,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.config.service",0.8182,0.9211,0.2645,reconstruct,0.2355,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.config.service.type",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.copy",4.3333,0.9569,0.4278,reconstruct,0.0722,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.crossapp.service",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.currency",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.currency.dao",0.5,0.96,0.1867,reconstruct,0.3133,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.currency.domain",2,0.9619,0.3524,reconstruct,0.1476,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.currency.service",0.5,0.9615,0.1859,reconstruct,0.3141,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.currency.util",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.dao",0.5,0.9630,0.1852,reconstruct,0.3148,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.demo",1.5,0.7857,0.4071,reconstruct,0.0929,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.dialect",0.3333,0.5,0.375,reconstruct,0.125,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.domain",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.dao",0.5,0.9545,0.1894,reconstruct,0.3106,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.domain",3.25,0.5593,0.6027,preserve,0.1027,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.service",1,0.9014,0.2993,reconstruct,0.2007,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.service.exception",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.service.info",0.3333,0.9875,0.1312,reconstruct,0.3688,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.service.jms",0.3333,0.9286,0.1607,reconstruct,0.3393,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.email.service.message",0.2,0.9773,0.0947,reconstruct,0.4053,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.encryption",0.5,0.9583,0.1875,reconstruct,0.3125,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.entity.dto",0,1,0,reconstruct,0.5,0.5
"Broadleaf Commerce","Multi-module, layered","pkg:org.broadleafcommerce.common.entity.service",1,0.9751,0.2624,reconstruct,0.2376,0.5
